# source_pcap: C:\Users\ccds\OneDrive\Documents\tmp\clab-isis_tcpdump-ospfv3_torus5x5_dd.pcap
# protocol: isis
timestamp,size_bytes
1754818935.052857,9520
1754818935.075594,9520
1754818935.313824,9520
1754818935.395655,9520
1754818935.452337,9520
1754818935.721818,9520
1754818935.785367,9520
1754818935.850714,9520
1754818936.022963,9520
1754818936.063643,9520
1754818936.306870,9520
1754818936.338707,9520
1754818936.388382,9520
1754818936.625862,9520
1754818936.764411,9520
1754818936.840760,9520
1754818936.991996,9520
1754818936.994698,9520
1754818937.244955,9520
1754818937.248900,9520
1754818937.382399,9520
1754818937.599888,9520
1754818937.757444,9520
1754818937.812819,9520
1754818937.915846,9520
1754818937.921027,9520
1754818938.195918,9520
1754818938.203977,9520
1754818938.375435,9520
1754818938.584907,9520
1754818938.680458,9520
1754818938.786839,9520
1754818938.826936,9520
1754818938.886044,9520
1754818939.128007,9520
1754818939.189939,9520
1754818939.284455,9520
1754818939.556949,9520
1754818939.673491,9520
1754818939.753985,9520
1754818939.761862,9520
1754818939.844065,9520
1754818940.032077,9520
1754818940.130978,9520
1754818940.249485,9520
1754818940.480999,9520
1754818940.661531,9520
1754818940.671028,9520
1754818940.755891,9520
1754818940.793096,9520
1754818940.956230,9520
1754818941.050009,9520
1754818941.158537,9520
1754818941.455060,9520
1754818941.580574,9520
1754818941.593064,9520
1754818941.660018,9520
1754818941.702197,9520
1754818941.905223,9520
1754818942.043028,9520
1754818942.155563,9520
1754818942.424087,9520
1754818942.505665,9520
1754818942.541086,9520
1754818942.594933,9520
1754818942.622144,9520
1754818942.814251,9520
1754818942.947056,9520
1754818942.967814,460
1754818943.099587,9520
1754818943.104603,460
1754818943.310026,460
1754818943.351113,9520
1754818943.478130,9520
1754818943.498680,9520
1754818943.580956,9520
1754818943.615175,9520
1754818943.631828,460
1754818943.734271,9520
1754818943.921131,9520
1754818944.017625,9520
1754818944.330139,9520
1754818944.381147,9520
1754818944.443711,9520
1754818944.569077,9520
1754818944.579200,9520
1754818944.652302,9520
1754818944.906181,9520
1754818944.987661,9520
1754818945.275166,9520
1754818945.359183,9520
1754818945.371788,9520
1754818945.561234,9520
1754818945.568099,9520
1754818945.649329,9520
1754818945.837207,9520
1754818945.902691,9520
1754818946.191189,9520
1754818946.302205,9520
1754818946.333817,9520
1754818946.495185,9520
1754818946.555379,9520
1754818946.631379,9520
1754818946.741240,9520
1754818946.829721,9520
1754818947.131216,9520
1754818947.231234,9520
1754818947.290835,9520
1754818947.478261,9520
1754818947.478398,9520
1754818947.542425,9520
1754818947.662282,9520
1754818947.765750,9520
1754818948.044261,9520
1754818948.197257,9520
1754818948.287893,9520
1754818948.388473,9520
1754818948.415292,9520
1754818948.532442,9520
1754818948.658329,9520
1754818948.676780,9520
1754818949.020298,9520
1754818949.110376,9520
1754818949.256935,9520
1754818949.372507,9520
1754818949.382337,9520
1754818949.439496,9520
1754818949.593814,9520
1754818949.610341,9520
1754818950.015363,9520
1754818950.045416,9520
1754818950.212986,9520
1754818950.295550,9520
1754818950.339530,9520
1754818950.343381,9520
1754818950.548376,9520
1754818950.585824,9520
1754818950.945398,9520
1754818951.005451,9520
1754818951.179031,9520
1754818951.248568,9520
1754818951.263561,9520
1754818951.303405,9520
1754818951.450402,9520
1754818951.494849,9520
1754818951.925425,9520
1754818951.926472,9520
1754818951.967840,460
1754818952.104631,460
1754818952.149049,9520
1754818952.230600,9520
1754818952.233425,9520
1754818952.238593,9520
1754818952.310044,460
1754818952.418422,9520
1754818952.448991,9520
1754818952.631912,460
1754818952.831472,9520
1754818952.850503,9520
1754818953.130197,9520
1754818953.132633,9520
1754818953.224444,9520
1754818953.230613,9520
1754818953.341453,9520
1754818953.357037,9520
1754818953.760506,9520
1754818953.790545,9520
1754818954.037653,9520
1754818954.052279,9520
1754818954.183477,9520
1754818954.197630,9520
1754818954.289478,9520
1754818954.295066,9520
1754818954.665558,9520
1754818954.787565,9520
1754818954.967252,9520
1754818954.975693,9520
1754818955.121503,9520
1754818955.129643,9520
1754818955.210501,9520
1754818955.280095,9520
1754818955.604589,9520
1754818955.737602,9520
1754818955.913747,9520
1754818955.964308,9520
1754818956.074674,9520
1754818956.090526,9520
1754818956.111529,9520
1754818956.241116,9520
1754818956.556624,9520
1754818956.640639,9520
1754818956.891757,9520
1754818956.963345,9520
1754818956.986697,9520
1754818957.051545,9520
1754818957.104549,9520
1754818957.166149,9520
1754818957.487654,9520
1754818957.571683,9520
1754818957.803818,9520
1754818957.903368,9520
1754818957.957629,9520
1754818957.980724,9520
1754818958.037582,9520
1754818958.099178,9520
1754818958.475716,9520
1754818958.484690,9520
1754818958.797836,9520
1754818958.886402,9520
1754818958.892654,9520
1754818958.905744,9520
1754818959.020230,9520
1754818959.021598,9520
1754818959.403714,9520
1754818959.465791,9520
1754818959.722860,9520
1754818959.811779,9520
1754818959.828434,9520
1754818959.881681,9520
1754818959.992263,9520
1754818959.995628,9520
1754818960.373760,9520
1754818960.443423,9520
1754818960.629192,9520
1754818960.681691,222
1754818960.681994,222
1754818960.781815,9520
1754818960.797458,9520
1754818960.846735,9520
1754818960.933668,9520
1754818960.948291,9520
1754818960.967886,460
1754818961.010850,58
1754818961.104678,460
1754818961.175803,58
1754818961.277776,9520
1754818961.310185,460
1754818961.417884,9520
1754818961.579919,58
1754818961.599239,9520
1754818961.631959,460
1754818961.762838,9520
1754818961.765532,9520
1754818961.815777,9520
1754818961.870323,9520
1754818961.895670,9520
1754818962.188805,9520
1754818962.328982,9520
1754818962.521251,9520
1754818962.672870,9520
1754818962.699601,9520
1754818962.793882,9520
1754818962.808339,9520
1754818962.879715,9520
1754818963.117867,9520
1754818963.327025,9520
1754818963.499332,9520
1754818963.624926,9520
1754818963.655670,9520
1754818963.714376,9520
1754818963.750907,9520
1754818963.811759,9520
1754818964.031195,9520
1754818964.303143,9520
1754818964.456358,9520
1754818964.552960,9520
1754818964.597715,9520
1754818964.705395,9520
1754818964.709939,9520
1754818964.725835,9520
1754818964.941307,9520
1754818965.262157,9520
1754818965.415403,9520
1754818965.540726,9520
1754818965.550991,9520
1754818965.619413,9520
1754818965.621977,9520
1754818965.631854,9520
1754818965.872350,9520
1754818966.170190,9520
1754818966.327560,9520
1754818966.483823,9520
1754818966.525016,9520
1754818966.534004,9520
1754818966.575914,9520
1754818966.610458,9520
